Question, Tag
Let A be array of n integers sorted so that A 1 leq A 2 leq dots A n Suppose you are given a number x and you wish to find out if there exist indices k l such that A k A l x Design an O n algorithm for this problem ,Algorithm Design
An element in an array X is called a leader if it is greater than all elements to the   right of it in X The best algorithm to find all leaders in an array  Solves it in linear time using a left to right pass of the array Solves it in linear time using a right to left pass of the array Solves it using divide and conquer in time Theta n log n Solves it in time Theta n 2 ,Algorithm Design
Given two arrays of numbers a_ 1 a_ n and b_ 1 b_ n where each number is 0 or 1 the fastest algorithm to find the largest span i j such that a_ i a_ i 1 dots a_ j b_ i b_ i 1 dots b_ j or report that there is not such span Takes  0 3 n and Omega 2 n time if hashing is permitted Takes 0 n 3 and Omega n 2 5 time in the key comparison mode Takes Theta n time and space Takes O sqrt n time only if the sum of the 2n elements is an even number ,Algorithm Design
You are given ten rings numbered from 1 to 10 and three pegs labeled A B and C Initially all the rings are on peg A arranged from top to bottom in ascending order of their numbers The goal is to move all the rings to peg B in the minimum number of moves obeying the following constraints In one move only one ring can be moved A ring can only be moved from the top of its peg to the top of a new peg At no point can a ring be placed on top of another ring with a lower number How many moves are required 501 1023 2011 10079 None of the above ,Algorithm Design
The correct matching for the following pairs is A All pairs shortest path 1 Greedy B Quick Sort 2 Depth First search C Minimum weight spanning tree 3 Dynamic Programming D Connected Components 4 Divide and and Conquer A 2 B 4 C 1 D 3 A 3 B 4 C 1 D 2 A 3 B 4 C 2 D 1 A 4 B 1 C 2 D 3 ,Algorithm Design Techniques
Match the following P Prim s algorithm for minimum spanning tree   i  Backtracking Q Floyd Warshall algorithm for all pairs shortest paths  ii  Greedy method R Mergesort      iii Dynamic programming S Hamiltonian circuit   iv  Divide and conquer                   P iii Q ii R iv S i P i Q ii R iv S iii P ii Q iii R iv S i P ii Q i R iii S iv ,Algorithm Design Techniques
Given below are some algorithms and some algorithm design paradigms 1 Dijkstra s Shortest Path i Divide and Conquer 2 Floyd Warshall algorithm to compute all pairs shortest path ii Dynamic Programming 3 Binary search on a sorted array iii Greedy design 4 Backtracking search on a graph iv Depth first search  v Breadth first search Match the above algorithms on the left to the corresponding design paradigm they follow 1 i 2 iii 3 i 4 v 1 iii 2 iii 3 i 4 v 1 iii 2 ii 3 i 4 iv 1 iii 2 ii 3 i 4 v ,Algorithm Design Techniques
Consider the following table Algorithms Design Paradigms P Kruskal i Divide and Conquer Q Quicksort ii Greedy R Floyd Warshall iii Dynamic Programming Match the algorithms to the design paradigms they are based on P  leftrightarrow ii Q  leftrightarrow iii R  leftrightarrow i P  leftrightarrow iii Q  leftrightarrow i R  leftrightarrow ii P  leftrightarrow ii Q  leftrightarrow i R  leftrightarrow iii P  leftrightarrow i Q  leftrightarrow ii R  leftrightarrow iii ,Algorithm Design Techniques
Consider the following two functions g_1 n begin cases n 3 ext for 0 leq n leq 10 000 n 2 ext for n geq 10 000 end cases g_2 n begin cases n ext for 0 leq n leq 100 n 3 ext for n gt 100 end cases Which of the following is true g_1 n ext is O g_2 n g_1 n ext is O n 3 g_2 n ext is O g_1 n g_2 n ext is O n  ,Asymptotic Notations
Which of the following is false 100n log n O frac n log n 100 sqrt log n O log log n If 0 lt x lt y ext then n x O left n y right 2 n eq O left nk right ,Asymptotic Notations
